timestamp,cpu_percent,memory_percent,memory_usage_mb,total_connections,active_connections,idle_connections,lock_waits,waiting_connections
2025-09-11T10:32:53.554123,167.74,16.31,334.06,30,7,14,0,26
2025-09-11T10:32:54.567487,182.89,16.6,339.87,30,1,20,0,29
2025-09-11T10:32:56.570682,148.26,16.82,344.57,30,2,17,0,29
2025-09-11T10:32:58.576818,165.5,17.91,366.72,30,7,13,0,29
2025-09-11T10:33:00.581952,160.4,18.1,370.67,30,4,14,0,28
2025-09-11T10:33:02.591981,163.48,18.29,374.64,30,3,17,0,28
2025-09-11T10:33:04.605291,163.07,19.37,396.61,30,2,16,0,28
2025-09-11T10:33:06.604794,176.04,19.58,400.97,30,3,14,0,29
2025-09-11T10:33:08.611793,144.54,20.57,421.33,30,7,14,0,28
2025-09-11T10:33:10.619822,187.58,20.81,426.24,30,5,17,0,29
2025-09-11T10:33:12.631169,178.38,21.01,430.38,30,2,13,0,28
2025-09-11T10:33:14.634983,189.36,22.03,451.14,30,2,18,0,28
2025-09-11T10:33:16.641084,164.04,22.26,455.92,30,2,14,0,29
2025-09-11T10:33:18.646221,170.25,22.47,460.14,30,2,14,0,29
2025-09-11T10:33:20.653587,188.39,23.45,480.36,30,4,14,0,23
2025-09-11T10:33:22.666488,176.01,23.7,485.37,30,2,16,0,28
2025-09-11T10:33:24.674597,154.33,23.85,488.38,30,8,11,0,29
2025-09-11T10:33:26.680754,142.19,24.85,508.9,30,1,20,0,29
2025-09-11T10:33:28.684860,175.25,25.04,512.79,30,4,16,0,27
2025-09-11T10:33:30.694148,185.78,25.23,516.66,30,4,13,0,27
2025-09-11T10:33:32.714286,154.11,25.37,519.54,30,4,17,0,29
2025-09-11T10:33:34.721207,191.68,26.39,540.4,30,3,12,0,28
2025-09-11T10:33:36.729905,180.34,26.56,544.02,30,5,16,0,27
2025-09-11T10:33:38.738482,164.32,26.77,548.28,30,5,10,0,26
2025-09-11T10:33:40.745462,169.84,27.83,570.01,30,1,16,0,29
2025-09-11T10:33:42.755369,191.4,28.05,574.44,30,9,10,0,26
2025-09-11T10:33:44.761924,178.83,29.04,594.75,30,8,13,0,28
2025-09-11T10:33:46.765163,179.45,29.23,598.7,30,1,22,0,28
2025-09-11T10:33:48.769219,175.34,29.44,603.0,30,7,14,0,29
2025-09-11T10:33:50.798828,181.41,30.45,623.63,30,2,16,0,28
2025-09-11T10:33:52.792954,185.07,30.65,627.77,30,6,10,0,28
2025-09-11T10:33:54.797834,145.19,30.81,630.96,30,4,16,0,29
2025-09-11T10:33:56.801611,173.35,31.81,651.55,30,10,12,0,25
2025-09-11T10:33:58.805037,201.82,32.24,660.32,31,5,13,0,29
2025-09-11T10:34:00.816502,175.79,32.29,661.4,30,2,17,0,29
2025-09-11T10:34:02.826713,175.58,33.28,681.6,30,4,14,0,26
2025-09-11T10:34:04.831402,163.55,33.49,685.85,30,4,16,0,27
2025-09-11T10:34:06.836723,183.86,33.59,687.88,30,2,13,0,29
2025-09-11T10:34:08.844505,179.39,34.5,706.49,30,6,16,0,28
2025-09-11T10:34:10.862774,173.35,34.6,708.63,30,4,10,0,27
2025-09-11T10:34:12.873171,188.9,34.7,710.68,30,6,13,0,29
2025-09-11T10:34:14.879547,148.25,35.59,728.8,30,2,22,0,29
2025-09-11T10:34:16.887424,155.8,35.67,730.54,30,2,16,0,29
2025-09-11T10:34:18.906467,176.92,35.78,732.72,30,5,13,0,26
2025-09-11T10:34:20.909874,167.7,36.67,751.03,30,4,13,0,28
2025-09-11T10:34:22.915824,161.92,36.76,752.82,30,3,14,0,28
2025-09-11T10:34:24.923274,184.83,36.88,755.27,30,4,16,0,27
2025-09-11T10:34:26.929284,190.16,37.75,773.22,30,3,15,0,29
2025-09-11T10:34:28.942660,168.17,37.8,774.12,30,2,15,0,28
2025-09-11T10:34:31.010933,189.11,37.89,776.05,30,2,19,0,28
2025-09-11T10:34:33.022534,167.37,38.78,794.3,30,6,15,0,27
2025-09-11T10:34:35.028829,194.64,38.87,796.14,30,3,14,0,28
2025-09-11T10:34:37.032301,120.73,38.93,797.3,30,13,8,0,29
2025-09-11T10:34:39.135462,159.24,39.01,799.0,30,5,16,0,29
2025-09-11T10:34:41.122280,160.47,39.07,800.14,30,2,16,0,27
2025-09-11T10:34:43.135155,163.46,39.96,818.48,30,3,17,0,28
2025-09-11T10:34:45.137506,189.47,40.04,819.95,30,3,13,0,28
2025-09-11T10:34:47.142240,183.21,40.1,821.35,30,5,11,0,27
2025-09-11T10:34:49.148752,165.38,40.19,823.17,30,6,14,0,29
2025-09-11T10:34:51.158298,144.91,41.07,841.04,30,4,16,0,28
2025-09-11T10:34:53.184127,179.29,41.14,842.56,30,1,14,0,29
2025-09-11T10:34:55.179442,186.06,41.23,844.39,30,7,15,0,28
2025-09-11T10:34:57.184659,172.8,42.13,862.89,30,8,11,0,29
2025-09-11T10:34:59.193408,213.96,42.35,867.37,31,2,18,0,29
2025-09-11T10:35:01.205411,150.32,42.24,865.13,30,6,14,0,28
2025-09-11T10:35:03.213271,139.59,42.34,867.09,30,1,19,0,29
2025-09-11T10:35:05.220810,165.36,43.21,884.92,30,7,11,0,27
2025-09-11T10:35:07.229264,168.58,43.28,886.28,30,4,16,0,29
2025-09-11T10:35:09.234867,143.67,43.33,887.31,30,1,13,0,29
2025-09-11T10:35:11.251048,165.98,43.42,889.24,30,3,11,0,28
2025-09-11T10:35:13.258672,151.68,43.45,889.9,30,5,11,0,29
2025-09-11T10:35:15.273660,183.91,45.04,922.47,22,9,8,0,21
